batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_count
Batch_001,2025-04-13 04:40:00,1,61.56,25.82,21.81,696.73,620.93,252.08,0.68,0.4,6.05,Seed Sowing,0
Batch_001,2025-04-13 04:45:00,1,63.15,24.36,23.39,666.46,741.51,159.11,0.55,0.49,6.47,Seed Sowing,0
Batch_001,2025-04-13 04:50:00,1,60.79,22.55,20.79,620.45,914.84,254.41,0.83,0.81,6.7,Seed Sowing,0
Batch_001,2025-04-13 04:55:00,1,56.93,25.26,21.61,563.77,936.29,179.95,0.56,0.84,6.65,Seed Sowing,0
Batch_001,2025-04-13 05:00:00,1,55.57,24.43,23.87,568.11,695.49,149.34,0.67,0.35,6.08,Seed Sowing,0
Batch_001,2025-04-13 05:05:00,1,58.09,23.66,21.82,617.5,644.86,148.5,0.46,0.21,6.96,Seed Sowing,0
Batch_001,2025-04-13 05:10:00,1,57.75,23.97,21.11,607.46,688.11,213.3,0.8,0.24,5.98,Seed Sowing,0
Batch_001,2025-04-13 05:15:00,1,58.61,23.34,20.68,547.97,603.18,200.39,0.45,0.17,5.93,Seed Sowing,0
Batch_001,2025-04-13 05:20:00,1,56.03,22.98,22.47,637.61,790.17,181.18,0.39,0.48,6.28,Seed Sowing,0
Batch_001,2025-04-13 05:25:00,1,57.91,23.5,21.68,698.69,676.86,211.95,0.66,0.73,6.72,Seed Sowing,0
Batch_001,2025-04-13 05:30:00,1,60.42,22.16,20.26,667.37,782.19,224.05,0.49,0.66,6.17,Seed Sowing,0
Batch_001,2025-04-13 05:35:00,1,55.1,24.35,21.4,589.13,1045.9,141.16,0.56,0.41,5.86,Seed Sowing,0
Batch_001,2025-04-13 05:40:00,1,57.33,23.6,22.67,549.06,936.93,178.17,0.29,0.12,6.55,Seed Sowing,0
Batch_001,2025-04-13 05:45:00,1,60.39,25.47,21.11,703.22,551.9,216.75,0.39,0.3,6.46,Seed Sowing,0
Batch_001,2025-04-13 05:50:00,1,59.95,22.57,21.96,666.81,817.01,207.53,0.79,0.68,6.22,Seed Sowing,0
Batch_001,2025-04-13 05:55:00,1,56.77,24.29,21.99,666.25,600.53,192.07,0.2,0.34,6.01,Seed Sowing,0
Batch_001,2025-04-13 06:00:00,1,58.97,31.95,27.48,620.83,16395.52,619.19,0.53,0.53,6.17,Seed Sowing,0
Batch_001,2025-04-13 06:05:00,1,58.84,30.92,26.79,655.64,18536.7,672.14,0.21,0.44,6.99,Seed Sowing,0
Batch_001,2025-04-13 06:10:00,1,54.91,30.22,24.53,687.26,18438.91,702.85,0.29,0.69,6.6,Seed Sowing,0
Batch_001,2025-04-13 06:15:00,1,57.58,31.5,25.04,627.27,18172.12,579.1,0.71,0.75,6.96,Seed Sowing,0
Batch_001,2025-04-13 06:20:00,1,58.98,31.24,27.12,625.59,17428.54,640.22,0.68,0.51,6.51,Seed Sowing,0
Batch_001,2025-04-13 06:25:00,1,59.5,26.47,27.23,607.74,18216.01,672.89,0.38,0.28,6.42,Seed Sowing,0
Batch_001,2025-04-13 06:30:00,1,59.59,32.79,27.43,621.12,18053.29,691.08,0.54,0.78,6.72,Seed Sowing,0
Batch_001,2025-04-13 06:35:00,1,57.22,25.77,24.53,643.84,15892.56,582.38,0.21,0.19,6.47,Seed Sowing,0
Batch_001,2025-04-13 06:40:00,1,58.37,25.72,24.42,572.63,19325.36,578.76,0.75,0.45,5.6,Seed Sowing,0
Batch_001,2025-04-13 06:45:00,1,59.48,29.35,25.99,678.43,16738.4,675.8,0.55,0.37,5.85,Seed Sowing,0
Batch_001,2025-04-13 06:50:00,1,59.38,27.82,25.05,672.04,15623.24,625.03,0.59,0.14,6.98,Seed Sowing,0
Batch_001,2025-04-13 06:55:00,1,59.29,27.59,23.9,689.84,18764.89,531.03,0.27,0.12,6.14,Seed Sowing,0
Batch_001,2025-04-13 07:00:00,1,55.2,29.53,24.94,570.83,15549.21,544.86,0.36,0.54,6.28,Seed Sowing,0
Batch_001,2025-04-13 07:05:00,1,58.32,29.43,25.6,696.75,17727.74,602.25,0.58,0.73,5.55,Seed Sowing,0
Batch_001,2025-04-13 07:10:00,1,60.82,31.12,27.59,610.69,16119.18,606.15,0.17,0.2,5.94,Seed Sowing,0
Batch_001,2025-04-13 07:15:00,1,59.92,26.93,27.1,599.96,16679.76,567.41,0.4,0.41,6.08,Seed Sowing,0
Batch_001,2025-04-13 07:20:00,1,57.16,26.5,26.87,669.96,16449.45,670.86,0.57,0.88,6.9,Seed Sowing,0
Batch_001,2025-04-13 07:25:00,1,62.53,31.95,25.6,624.7,18506.15,650.6,0.15,0.73,6.32,Seed Sowing,0
Batch_001,2025-04-13 07:30:00,1,61.88,27.31,27.27,575.9,17003.07,547.82,0.87,0.22,6.09,Seed Sowing,0
Batch_001,2025-04-13 07:35:00,1,60.93,29.07,26.03,635.13,16531.8,653.91,0.85,0.18,6.62,Seed Sowing,0
Batch_001,2025-04-13 07:40:00,1,61.12,28.89,26.08,548.89,18007.55,677.32,0.36,0.2,5.81,Seed Sowing,0
Batch_001,2025-04-13 07:45:00,1,56.85,31.06,25.53,613.06,17719.59,584.0,0.26,0.89,5.57,Seed Sowing,0
Batch_001,2025-04-13 07:50:00,1,59.15,29.6,27.22,668.97,18461.54,591.41,0.18,0.84,6.27,Seed Sowing,0
Batch_001,2025-04-13 07:55:00,1,60.66,28.09,27.61,684.71,18393.42,720.11,0.74,0.88,6.92,Seed Sowing,0
Batch_001,2025-04-13 08:00:00,1,57.59,27.67,25.67,548.4,16167.78,575.03,0.39,0.84,6.89,Seed Sowing,0
Batch_001,2025-04-13 08:05:00,1,59.75,25.96,24.58,562.75,19015.49,664.19,0.87,0.56,6.24,Seed Sowing,0
Batch_001,2025-04-13 08:10:00,1,56.91,29.53,25.79,672.06,18584.06,683.19,0.58,0.66,6.68,Seed Sowing,0
Batch_001,2025-04-13 08:15:00,1,58.78,28.4,25.62,653.87,17401.62,559.97,0.74,0.59,5.73,Seed Sowing,0
Batch_001,2025-04-13 08:20:00,1,57.5,32.37,24.8,659.97,18054.45,587.97,0.21,0.88,6.78,Seed Sowing,0
Batch_001,2025-04-13 08:25:00,1,57.4,27.3,23.89,591.8,16685.21,638.44,0.39,0.27,6.0,Seed Sowing,0
Batch_001,2025-04-13 08:30:00,1,58.32,28.94,25.01,587.83,17204.62,674.48,0.62,0.18,6.04,Seed Sowing,0
Batch_001,2025-04-13 08:35:00,1,56.49,27.84,25.39,697.4,18784.15,686.62,0.89,0.53,6.28,Seed Sowing,0
Batch_001,2025-04-13 08:40:00,1,59.01,26.13,26.69,561.58,17287.34,556.81,0.17,0.74,6.29,Seed Sowing,0
Batch_001,2025-04-13 08:45:00,1,60.66,27.59,22.11,566.45,16917.41,670.15,0.51,0.33,6.0,Seed Sowing,0
Batch_001,2025-04-13 08:50:00,1,61.18,30.88,25.58,669.39,16917.56,660.92,0.36,0.71,6.42,Seed Sowing,0
Batch_001,2025-04-13 08:55:00,1,57.05,27.82,27.21,681.46,17674.54,522.56,0.15,0.53,6.96,Seed Sowing,0
Batch_001,2025-04-13 09:00:00,1,59.13,28.34,26.62,617.23,20171.95,502.41,0.43,0.22,5.61,Seed Sowing,0
Batch_001,2025-04-13 09:05:00,1,59.36,26.14,26.08,568.3,18538.25,521.55,0.74,0.8,6.47,Seed Sowing,0
Batch_001,2025-04-13 09:10:00,1,59.8,27.51,25.05,682.53,17784.14,609.86,0.33,0.73,6.43,Seed Sowing,0
Batch_001,2025-04-13 09:15:00,1,61.65,26.61,24.65,668.53,17041.43,645.08,0.44,0.27,6.83,Seed Sowing,0
Batch_001,2025-04-13 09:20:00,1,58.28,30.82,24.91,702.17,17794.76,576.09,0.86,0.37,6.35,Seed Sowing,0
Batch_001,2025-04-13 09:25:00,1,58.63,32.2,23.94,697.87,19395.63,532.85,0.47,0.5,6.73,Seed Sowing,0
Batch_001,2025-04-13 09:30:00,1,60.58,27.64,26.35,674.8,18938.69,724.71,0.2,0.54,6.61,Seed Sowing,0
Batch_001,2025-04-13 09:35:00,1,55.77,31.15,27.68,676.63,16269.67,509.33,0.3,0.44,5.98,Seed Sowing,0
Batch_001,2025-04-13 09:40:00,1,58.25,31.52,26.39,574.09,17452.72,641.31,0.2,0.49,6.18,Seed Sowing,0
Batch_001,2025-04-13 09:45:00,1,59.03,31.95,26.61,647.5,15848.28,533.72,0.86,0.84,6.54,Seed Sowing,0
Batch_001,2025-04-13 09:50:00,1,59.55,27.89,26.45,566.78,16018.47,717.54,0.59,0.78,6.78,Seed Sowing,0
Batch_001,2025-04-13 09:55:00,1,57.12,27.05,25.18,609.34,15483.24,675.9,0.47,0.6,6.58,Seed Sowing,0
Batch_001,2025-04-13 10:00:00,1,58.2,30.03,25.46,616.48,18201.26,700.46,0.21,0.22,5.74,Seed Sowing,0
Batch_001,2025-04-13 10:05:00,1,59.44,26.42,26.18,594.68,17939.04,608.54,0.22,0.46,6.7,Seed Sowing,0
Batch_001,2025-04-13 10:10:00,1,55.9,30.07,27.56,570.76,20075.93,646.37,0.64,0.17,5.42,Seed Sowing,0
Batch_001,2025-04-13 10:15:00,1,62.01,28.88,27.62,618.63,18037.62,527.35,0.91,0.71,5.81,Seed Sowing,0
Batch_001,2025-04-13 10:20:00,1,57.43,27.93,25.32,577.33,15016.24,581.89,0.32,0.59,6.71,Seed Sowing,0
Batch_001,2025-04-13 10:25:00,1,59.29,30.69,25.9,625.74,15054.09,585.61,0.28,0.49,6.23,Seed Sowing,0
Batch_001,2025-04-13 10:30:00,1,60.26,28.87,24.42,688.52,15310.34,677.72,0.9,0.67,5.75,Seed Sowing,0
Batch_001,2025-04-13 10:35:00,1,55.47,32.86,26.85,564.25,16242.89,635.38,0.86,0.52,5.77,Seed Sowing,0
Batch_001,2025-04-13 10:40:00,1,63.63,26.45,26.1,622.54,19787.25,585.46,0.68,0.26,6.35,Seed Sowing,0
Batch_001,2025-04-13 10:45:00,1,61.11,28.29,26.63,575.29,19303.45,569.39,0.54,0.83,5.87,Seed Sowing,0
Batch_001,2025-04-13 10:50:00,1,58.71,31.99,24.02,605.43,19137.97,612.66,0.25,0.85,6.48,Seed Sowing,0
Batch_001,2025-04-13 10:55:00,1,57.01,26.59,26.91,610.89,20136.27,652.49,0.43,0.35,6.38,Seed Sowing,0
Batch_001,2025-04-13 11:00:00,1,60.98,31.89,26.82,663.18,17979.43,596.71,0.83,0.34,6.79,Seed Sowing,0
Batch_001,2025-04-13 11:05:00,1,55.82,31.13,25.51,663.26,17422.81,585.74,0.85,0.36,5.58,Seed Sowing,0
Batch_001,2025-04-13 11:10:00,1,59.07,27.52,27.37,706.99,18291.01,471.83,0.57,0.68,6.84,Seed Sowing,0
Batch_001,2025-04-13 11:15:00,1,59.53,27.16,25.57,564.63,18545.24,558.78,0.5,0.44,6.71,Seed Sowing,0
Batch_001,2025-04-13 11:20:00,1,61.35,29.38,26.05,622.82,16266.89,496.04,0.56,0.28,6.32,Seed Sowing,0
Batch_001,2025-04-13 11:25:00,1,60.18,31.65,24.9,554.91,18429.7,519.89,0.45,0.85,5.84,Seed Sowing,0
Batch_001,2025-04-13 11:30:00,1,61.95,31.66,28.02,609.26,15338.39,599.16,0.52,0.34,6.34,Seed Sowing,0
Batch_001,2025-04-13 11:35:00,1,57.08,30.23,27.32,643.38,19705.29,613.82,0.82,0.15,6.29,Seed Sowing,0
Batch_001,2025-04-13 11:40:00,1,58.05,27.59,25.97,625.77,17134.41,551.52,0.44,0.72,6.71,Seed Sowing,0
Batch_001,2025-04-13 11:45:00,1,59.4,26.31,25.84,675.3,18087.37,491.52,0.18,0.86,6.83,Seed Sowing,0
Batch_001,2025-04-13 11:50:00,1,62.3,26.83,26.57,640.6,17656.92,638.0,0.48,0.81,6.72,Seed Sowing,0
Batch_001,2025-04-13 11:55:00,1,61.32,31.91,28.05,661.7,18846.34,647.86,0.25,0.31,5.54,Seed Sowing,0
Batch_001,2025-04-13 12:00:00,1,46.61,33.78,32.27,607.54,10240.55,312.81,0.12,0.47,6.82,Seed Sowing,0
Batch_001,2025-04-13 12:05:00,1,52.62,34.9,33.51,700.86,11189.94,302.57,0.33,0.22,6.03,Seed Sowing,0
Batch_001,2025-04-13 12:10:00,1,47.53,34.58,32.62,670.14,10081.69,406.15,0.11,0.14,6.52,Seed Sowing,0
Batch_001,2025-04-13 12:15:00,1,53.41,37.1,33.03,709.19,12110.73,387.12,0.28,0.65,6.16,Seed Sowing,0
Batch_001,2025-04-13 12:20:00,1,54.66,36.39,32.23,561.64,13556.12,477.44,0.12,0.36,6.8,Seed Sowing,0
Batch_001,2025-04-13 12:25:00,1,50.78,34.4,32.91,641.96,11395.78,306.64,0.18,0.11,5.73,Seed Sowing,0
Batch_001,2025-04-13 12:30:00,1,43.8,36.37,33.46,580.42,11457.62,431.21,0.22,0.1,5.56,Seed Sowing,0
Batch_001,2025-04-13 12:35:00,1,45.41,34.25,33.76,574.79,10200.68,326.45,0.85,0.61,6.55,Seed Sowing,0
Batch_001,2025-04-13 12:40:00,1,47.06,35.3,32.92,662.68,12837.68,352.25,0.45,0.69,6.25,Seed Sowing,0
Batch_001,2025-04-13 12:45:00,1,49.66,36.71,33.1,627.32,12194.08,351.15,0.14,0.28,6.58,Seed Sowing,0
Batch_001,2025-04-13 12:50:00,1,52.32,36.81,31.86,632.63,12341.16,542.67,0.58,0.38,6.36,Seed Sowing,0
Batch_001,2025-04-13 12:55:00,1,50.22,35.21,33.57,563.43,12172.98,382.01,0.34,0.21,5.62,Seed Sowing,0
Batch_001,2025-04-13 13:00:00,1,40.52,35.11,33.79,604.68,7160.18,237.28,0.54,0.14,5.84,Seed Sowing,0
Batch_001,2025-04-13 13:05:00,1,54.59,33.98,34.11,575.45,5175.49,200.89,0.65,0.83,6.25,Seed Sowing,0
Batch_001,2025-04-13 13:10:00,1,48.36,35.98,31.94,627.58,5748.14,233.17,0.75,0.17,6.25,Seed Sowing,0
Batch_001,2025-04-13 13:15:00,1,43.83,36.18,32.9,686.97,8268.79,419.07,0.47,0.52,5.92,Seed Sowing,0
Batch_001,2025-04-13 13:20:00,1,44.62,34.78,33.04,594.67,7267.69,256.87,0.59,0.59,6.84,Seed Sowing,0
Batch_001,2025-04-13 13:25:00,1,48.43,35.33,32.43,564.04,7393.33,289.78,0.21,0.63,6.87,Seed Sowing,0
Batch_001,2025-04-13 13:30:00,1,55.27,36.83,33.96,627.84,7091.84,307.98,0.54,0.51,6.5,Seed Sowing,0
Batch_001,2025-04-13 13:35:00,1,54.6,33.85,33.2,578.18,6117.79,295.75,0.54,0.82,5.92,Seed Sowing,0
Batch_001,2025-04-13 13:40:00,1,45.63,34.9,33.84,592.54,7358.97,369.12,0.27,0.15,6.26,Seed Sowing,0
Batch_001,2025-04-13 13:45:00,1,51.84,34.43,32.42,715.93,7430.51,396.4,0.37,0.39,5.88,Seed Sowing,0
Batch_001,2025-04-13 13:50:00,1,46.03,36.09,32.53,568.85,5016.14,282.74,0.33,0.42,5.74,Seed Sowing,0
Batch_001,2025-04-13 13:55:00,1,51.53,36.98,32.45,688.12,7685.06,209.16,0.33,0.11,6.37,Seed Sowing,0
Batch_001,2025-04-13 14:00:00,1,50.52,37.53,33.42,616.66,7414.32,389.15,0.79,0.24,6.7,Seed Sowing,0
Batch_001,2025-04-13 14:05:00,1,47.1,38.23,32.66,682.82,7632.64,333.29,0.56,0.75,5.65,Seed Sowing,0
Batch_001,2025-04-13 14:10:00,1,51.66,37.14,31.8,669.7,7410.22,263.28,0.39,0.31,6.33,Seed Sowing,0
Batch_001,2025-04-13 14:15:00,1,48.0,37.14,32.76,700.45,7207.57,317.84,0.83,0.83,5.86,Seed Sowing,0
Batch_001,2025-04-13 14:20:00,1,47.52,37.94,32.69,616.41,7326.21,177.2,0.6,0.24,6.01,Seed Sowing,0
Batch_001,2025-04-13 14:25:00,1,44.14,37.6,32.21,561.17,5866.51,239.82,0.19,0.8,5.79,Seed Sowing,0
Batch_001,2025-04-13 14:30:00,1,49.95,37.7,33.87,635.5,5969.22,282.32,0.44,0.1,6.87,Seed Sowing,0
Batch_001,2025-04-13 14:35:00,1,53.65,37.57,31.7,701.82,7252.43,321.38,0.3,0.69,6.52,Seed Sowing,0
Batch_001,2025-04-13 14:40:00,1,47.92,36.64,33.38,694.06,6772.29,243.28,0.79,0.45,6.55,Seed Sowing,0
Batch_001,2025-04-13 14:45:00,1,51.3,37.65,33.2,616.91,7911.52,325.35,0.24,0.49,5.93,Seed Sowing,0
Batch_001,2025-04-13 14:50:00,1,48.95,37.54,32.49,642.83,6018.53,268.92,0.2,0.48,6.66,Seed Sowing,0
Batch_001,2025-04-13 14:55:00,1,51.15,37.16,33.47,573.79,5431.64,413.38,0.57,0.82,6.6,Seed Sowing,0
Batch_001,2025-04-13 15:00:00,1,53.69,36.88,32.9,590.06,7605.89,218.97,0.62,0.21,6.79,Seed Sowing,0
Batch_001,2025-04-13 15:05:00,1,53.71,37.33,32.34,616.23,6754.36,392.51,0.4,0.61,5.97,Seed Sowing,0
Batch_001,2025-04-13 15:10:00,1,47.14,37.55,32.18,571.62,6495.66,373.47,0.85,0.28,6.57,Seed Sowing,0
Batch_001,2025-04-13 15:15:00,1,48.62,37.58,34.01,680.82,6718.04,390.56,0.39,0.18,6.12,Seed Sowing,0
Batch_001,2025-04-13 15:20:00,1,44.15,37.04,33.76,552.22,5433.22,383.2,0.26,0.09,6.58,Seed Sowing,0
Batch_001,2025-04-13 15:25:00,1,44.41,37.7,33.74,549.37,6864.64,361.03,0.4,0.45,6.53,Seed Sowing,0
Batch_001,2025-04-13 15:30:00,1,53.89,36.99,33.54,592.65,5106.49,343.22,0.53,0.78,6.16,Seed Sowing,0
Batch_001,2025-04-13 15:35:00,1,45.34,37.7,32.1,597.15,6415.37,368.58,0.78,0.87,5.67,Seed Sowing,0
Batch_001,2025-04-13 15:40:00,1,45.6,37.46,34.11,631.84,5856.41,360.34,0.27,0.41,6.55,Seed Sowing,0
Batch_001,2025-04-13 15:45:00,1,43.52,37.9,32.86,593.6,7497.12,258.44,0.62,0.68,6.61,Seed Sowing,0
Batch_001,2025-04-13 15:50:00,1,46.08,37.17,32.75,591.6,5747.35,229.73,0.43,0.59,5.94,Seed Sowing,0
Batch_001,2025-04-13 15:55:00,1,51.76,37.46,32.64,658.66,7693.51,386.07,0.67,0.42,6.36,Seed Sowing,0
Batch_001,2025-04-13 16:00:00,1,68.14,31.92,28.26,653.56,6584.02,294.38,0.43,0.21,6.17,Seed Sowing,0
Batch_001,2025-04-13 16:05:00,1,70.74,33.7,25.81,687.73,7371.65,312.01,0.31,0.14,7.06,Seed Sowing,0
Batch_001,2025-04-13 16:10:00,1,67.98,31.2,28.41,640.82,6786.69,193.96,0.63,0.77,5.91,Seed Sowing,0
Batch_001,2025-04-13 16:15:00,1,70.85,31.41,28.74,648.13,7059.33,303.8,0.64,0.28,5.71,Seed Sowing,0
Batch_001,2025-04-13 16:20:00,1,65.16,31.6,28.21,665.65,5290.02,231.38,0.36,0.69,6.01,Seed Sowing,0
Batch_001,2025-04-13 16:25:00,1,70.19,31.71,27.36,721.09,7241.66,374.64,0.29,0.89,6.78,Seed Sowing,0
Batch_001,2025-04-13 16:30:00,1,67.22,30.34,29.74,612.51,7609.76,333.97,0.86,0.67,7.02,Seed Sowing,0
Batch_001,2025-04-13 16:35:00,1,64.79,31.03,27.41,643.86,7700.86,276.25,0.81,0.83,7.06,Seed Sowing,0
Batch_001,2025-04-13 16:40:00,1,63.57,34.15,27.62,594.94,5904.62,349.28,0.22,0.38,6.24,Seed Sowing,0
Batch_001,2025-04-13 16:45:00,1,64.34,30.97,28.97,661.76,5064.2,297.32,0.22,0.55,6.05,Seed Sowing,0
Batch_001,2025-04-13 16:50:00,1,62.56,33.1,28.87,715.23,5944.04,227.62,0.42,0.74,6.46,Seed Sowing,0
Batch_001,2025-04-13 16:55:00,1,68.81,31.11,28.68,671.93,6567.82,401.48,0.35,0.38,7.04,Seed Sowing,0
