batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,ec,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_count
Batch_001,2025-04-13 02:55:00,1,85.66,23.09,21.19,631.24,0.99,828.19,206.38,0.34,0.32,6.2,Seed Sowing,0
Batch_001,2025-04-13 03:00:00,1,80.3,25.99,20.32,628.8,0.98,553.74,232.81,0.25,0.3,6.1,Seed Sowing,0
Batch_001,2025-04-13 03:05:00,1,80.46,24.72,20.76,625.23,0.98,854.47,209.34,0.28,0.26,6.18,Seed Sowing,0
Batch_001,2025-04-13 03:10:00,1,79.81,23.55,21.92,629.11,0.98,751.75,224.87,0.38,0.24,5.84,Seed Sowing,0
Batch_001,2025-04-13 03:15:00,1,82.62,21.85,21.1,625.89,0.98,732.94,189.16,0.22,0.18,6.1,Seed Sowing,0
Batch_001,2025-04-13 03:20:00,1,85.31,26.25,20.28,635.72,0.99,517.1,182.2,0.33,0.31,5.9,Seed Sowing,0
Batch_001,2025-04-13 03:25:00,1,79.74,22.63,22.39,641.9,1.0,525.12,210.16,0.25,0.25,5.95,Seed Sowing,0
Batch_001,2025-04-13 03:30:00,1,80.3,24.69,23.19,629.06,0.98,934.07,199.29,0.31,0.27,5.87,Seed Sowing,0
Batch_001,2025-04-13 03:35:00,1,80.51,24.69,23.71,642.27,1.0,645.61,176.17,0.3,0.33,6.14,Seed Sowing,0
Batch_001,2025-04-13 03:40:00,1,80.74,22.11,21.3,632.33,0.99,486.34,261.61,0.34,0.33,6.1,Seed Sowing,0
Batch_001,2025-04-13 03:45:00,1,80.5,25.73,21.86,628.74,0.98,547.94,233.16,0.21,0.25,6.1,Seed Sowing,0
Batch_001,2025-04-13 03:50:00,1,85.72,25.31,22.18,641.14,1.0,865.51,195.68,0.31,0.23,5.98,Seed Sowing,0
Batch_001,2025-04-13 03:55:00,1,84.29,23.15,20.08,639.36,1.0,752.5,170.86,0.4,0.17,6.12,Seed Sowing,0
Batch_001,2025-04-13 04:00:00,1,59.37,22.34,22.46,630.5,0.99,660.63,210.64,0.33,0.29,6.25,Seed Sowing,0
Batch_001,2025-04-13 04:05:00,1,60.94,22.43,22.27,625.09,0.98,548.72,224.87,0.2,0.35,5.86,Seed Sowing,0
Batch_001,2025-04-13 04:10:00,1,58.2,23.93,20.16,628.24,0.98,1004.57,175.49,0.33,0.3,5.81,Seed Sowing,0
Batch_001,2025-04-13 04:15:00,1,57.37,26.03,22.32,630.96,0.99,482.5,240.32,0.38,0.21,6.04,Seed Sowing,0
Batch_001,2025-04-13 04:20:00,1,56.19,24.34,23.33,633.56,0.99,615.85,186.11,0.32,0.28,6.08,Seed Sowing,0
Batch_001,2025-04-13 04:25:00,1,55.1,22.6,22.3,630.48,0.99,554.02,234.63,0.29,0.27,6.25,Seed Sowing,0
Batch_001,2025-04-13 04:30:00,1,57.05,22.23,21.18,623.43,0.97,828.6,177.03,0.29,0.3,5.85,Seed Sowing,0
Batch_001,2025-04-13 04:35:00,1,61.25,25.8,23.21,622.42,0.97,724.86,240.94,0.22,0.23,5.97,Seed Sowing,0
Batch_001,2025-04-13 04:40:00,1,59.05,24.24,23.02,633.81,0.99,714.36,140.74,0.34,0.22,6.04,Seed Sowing,0
Batch_001,2025-04-13 04:45:00,1,60.41,21.78,22.72,624.39,0.98,599.08,234.08,0.24,0.17,6.15,Seed Sowing,0
Batch_001,2025-04-13 04:50:00,1,57.58,24.67,20.96,630.1,0.98,664.61,188.93,0.31,0.2,5.81,Seed Sowing,0
Batch_001,2025-04-13 04:55:00,1,61.76,23.06,22.16,622.91,0.97,542.19,171.9,0.25,0.35,6.04,Seed Sowing,0
Batch_001,2025-04-13 05:00:00,1,56.82,25.68,22.77,632.05,0.99,751.34,196.07,0.37,0.2,6.11,Seed Sowing,0
Batch_001,2025-04-13 05:05:00,1,59.46,23.59,20.51,631.81,0.99,589.77,182.04,0.23,0.22,6.21,Seed Sowing,0
Batch_001,2025-04-13 05:10:00,1,53.81,23.79,23.79,624.06,0.98,912.79,163.53,0.36,0.33,6.12,Seed Sowing,0
Batch_001,2025-04-13 05:15:00,1,58.27,24.63,21.89,635.46,0.99,640.24,128.49,0.4,0.24,5.91,Seed Sowing,0
Batch_001,2025-04-13 05:20:00,1,55.98,23.79,21.09,617.9,0.97,715.42,177.8,0.21,0.22,6.12,Seed Sowing,0
Batch_001,2025-04-13 05:25:00,1,60.51,24.29,22.85,631.04,0.99,801.13,182.19,0.26,0.16,6.17,Seed Sowing,0
Batch_001,2025-04-13 05:30:00,1,60.4,23.46,21.98,631.98,0.99,666.21,230.94,0.37,0.26,5.91,Seed Sowing,0
Batch_001,2025-04-13 05:35:00,1,60.03,22.35,23.2,623.08,0.97,687.84,144.95,0.29,0.21,6.03,Seed Sowing,0
Batch_001,2025-04-13 05:40:00,1,62.06,22.69,21.76,630.8,0.99,597.57,192.7,0.25,0.18,5.82,Seed Sowing,0
Batch_001,2025-04-13 05:45:00,1,60.79,22.48,23.84,622.66,0.97,710.93,165.38,0.31,0.24,6.23,Seed Sowing,0
Batch_001,2025-04-13 05:50:00,1,62.0,23.99,20.38,630.23,0.98,920.1,203.97,0.36,0.17,6.08,Seed Sowing,0
Batch_001,2025-04-13 05:55:00,1,59.83,25.45,20.75,630.42,0.99,701.33,219.63,0.38,0.26,6.25,Seed Sowing,0
Batch_001,2025-04-13 06:00:00,1,57.59,27.16,26.3,631.58,0.99,18033.52,580.89,0.28,0.26,6.0,Seed Sowing,0
Batch_001,2025-04-13 06:05:00,1,57.17,27.14,28.14,625.49,0.98,16733.68,675.35,0.23,0.35,6.14,Seed Sowing,0
Batch_001,2025-04-13 06:10:00,1,60.15,28.74,27.22,632.9,0.99,15694.9,695.78,0.3,0.2,6.09,Seed Sowing,0
Batch_001,2025-04-13 06:15:00,1,56.27,32.16,26.6,632.84,0.99,15354.44,580.7,0.27,0.17,5.83,Seed Sowing,0
Batch_001,2025-04-13 06:20:00,1,56.69,32.62,26.86,628.21,0.98,16750.06,550.65,0.35,0.2,6.16,Seed Sowing,0
Batch_001,2025-04-13 06:25:00,1,58.77,30.55,26.62,634.27,0.99,19587.55,608.32,0.25,0.28,5.97,Seed Sowing,0
Batch_001,2025-04-13 06:30:00,1,59.11,26.96,26.46,623.76,0.97,18120.87,553.69,0.2,0.28,6.25,Seed Sowing,0
Batch_001,2025-04-13 06:35:00,1,61.44,26.89,25.17,636.41,0.99,14950.18,560.9,0.36,0.33,5.88,Seed Sowing,0
Batch_001,2025-04-13 06:40:00,1,59.12,31.67,27.23,632.85,0.99,19414.09,618.73,0.26,0.32,5.92,Seed Sowing,0
Batch_001,2025-04-13 06:45:00,1,57.44,30.73,26.21,622.25,0.97,19096.21,687.59,0.31,0.23,5.9,Seed Sowing,0
Batch_001,2025-04-13 06:50:00,1,61.0,27.72,27.66,619.28,0.97,18901.2,569.25,0.4,0.3,6.06,Seed Sowing,0
Batch_001,2025-04-13 06:55:00,1,57.82,30.85,24.41,630.44,0.99,18317.54,533.54,0.29,0.3,6.13,Seed Sowing,0
Batch_001,2025-04-13 07:00:00,1,59.7,31.14,24.51,632.34,0.99,16839.3,613.67,0.36,0.23,6.0,Seed Sowing,0
Batch_001,2025-04-13 07:05:00,1,57.48,29.64,23.77,633.08,0.99,15910.29,693.87,0.32,0.33,6.15,Seed Sowing,0
Batch_001,2025-04-13 07:10:00,1,56.93,31.35,26.19,629.42,0.98,17093.4,640.12,0.34,0.17,5.84,Seed Sowing,0
Batch_001,2025-04-13 07:15:00,1,60.99,30.53,27.2,634.54,0.99,15395.61,655.61,0.4,0.32,5.86,Seed Sowing,0
Batch_001,2025-04-13 07:20:00,1,61.44,27.55,24.45,625.83,0.98,19982.45,519.35,0.36,0.23,5.97,Seed Sowing,0
Batch_001,2025-04-13 07:25:00,1,58.87,31.68,28.05,621.57,0.97,16129.84,550.13,0.22,0.27,6.03,Seed Sowing,0
Batch_001,2025-04-13 07:30:00,1,59.11,31.51,26.54,622.58,0.97,20016.11,648.69,0.27,0.28,5.77,Seed Sowing,0
Batch_001,2025-04-13 07:35:00,1,59.36,31.4,24.65,631.32,0.99,18113.87,522.79,0.25,0.19,5.91,Seed Sowing,0
Batch_001,2025-04-13 07:40:00,1,60.69,29.91,27.17,634.34,0.99,17695.07,652.27,0.31,0.24,6.2,Seed Sowing,0
Batch_001,2025-04-13 07:45:00,1,58.91,28.45,26.61,625.4,0.98,16996.45,585.93,0.33,0.21,6.07,Seed Sowing,0
Batch_001,2025-04-13 07:50:00,1,55.77,31.76,25.42,624.81,0.98,17891.27,523.09,0.25,0.26,6.11,Seed Sowing,0
Batch_001,2025-04-13 07:55:00,1,59.18,29.91,26.68,629.1,0.98,17945.92,498.95,0.24,0.27,6.07,Seed Sowing,0
Batch_001,2025-04-13 08:00:00,1,57.93,26.47,24.48,626.09,0.98,18780.77,587.27,0.28,0.31,6.13,Seed Sowing,0
Batch_001,2025-04-13 08:05:00,1,56.65,28.93,26.92,623.86,0.97,17837.77,591.93,0.34,0.33,6.05,Seed Sowing,0
Batch_001,2025-04-13 08:10:00,1,59.61,30.87,26.64,625.61,0.98,17092.74,591.52,0.31,0.28,6.13,Seed Sowing,0
Batch_001,2025-04-13 08:15:00,1,60.66,31.54,24.56,640.0,1.0,19184.02,656.6,0.36,0.3,5.9,Seed Sowing,0
Batch_001,2025-04-13 08:20:00,1,58.61,27.58,25.58,625.4,0.98,19748.74,609.17,0.38,0.28,5.97,Seed Sowing,0
Batch_001,2025-04-13 08:25:00,1,57.94,29.14,26.02,632.33,0.99,15851.57,545.09,0.41,0.29,6.22,Seed Sowing,0
Batch_001,2025-04-13 08:30:00,1,61.0,27.0,26.93,626.58,0.98,18030.23,695.68,0.24,0.18,6.1,Seed Sowing,0
Batch_001,2025-04-13 08:35:00,1,56.56,30.39,27.49,630.55,0.99,18337.41,543.19,0.36,0.27,6.07,Seed Sowing,0
Batch_001,2025-04-13 08:40:00,1,59.59,30.94,24.04,638.57,1.0,17432.33,715.26,0.25,0.24,5.89,Seed Sowing,0
Batch_001,2025-04-13 08:45:00,1,60.36,30.18,25.04,637.31,1.0,17903.7,591.85,0.2,0.16,6.01,Seed Sowing,0
Batch_001,2025-04-13 08:50:00,1,59.62,29.4,26.28,627.65,0.98,19269.58,616.61,0.24,0.18,6.2,Seed Sowing,0
Batch_001,2025-04-13 08:55:00,1,54.71,27.89,26.86,618.39,0.97,16613.8,501.23,0.23,0.31,5.98,Seed Sowing,0
Batch_001,2025-04-13 09:00:00,1,60.46,29.09,25.33,627.03,0.98,18879.4,606.28,0.31,0.22,5.99,Seed Sowing,0
Batch_001,2025-04-13 09:05:00,1,57.32,26.62,25.97,633.07,0.99,18581.45,487.78,0.22,0.32,6.09,Seed Sowing,0
Batch_001,2025-04-13 09:10:00,1,59.32,31.56,27.75,630.74,0.99,18241.42,683.0,0.34,0.23,5.85,Seed Sowing,0
Batch_001,2025-04-13 09:15:00,1,57.25,28.44,25.39,630.01,0.98,15529.69,670.19,0.21,0.15,5.92,Seed Sowing,0
Batch_001,2025-04-13 09:20:00,1,60.47,27.38,26.98,631.36,0.99,17944.79,563.16,0.26,0.23,5.96,Seed Sowing,0
Batch_001,2025-04-13 09:25:00,1,55.29,27.06,25.12,635.14,0.99,20294.66,681.96,0.33,0.24,5.89,Seed Sowing,0
Batch_001,2025-04-13 09:30:00,1,59.49,30.09,25.86,623.4,0.97,18786.76,616.15,0.37,0.3,5.87,Seed Sowing,0
Batch_001,2025-04-13 09:35:00,1,58.78,31.0,26.65,629.09,0.98,16032.23,561.34,0.26,0.27,6.01,Seed Sowing,0
Batch_001,2025-04-13 09:40:00,1,62.53,28.85,24.58,632.95,0.99,15862.85,604.08,0.29,0.19,5.92,Seed Sowing,0
Batch_001,2025-04-13 09:45:00,1,60.84,30.04,27.61,635.54,0.99,19117.26,521.69,0.37,0.19,6.14,Seed Sowing,0
Batch_001,2025-04-13 09:50:00,1,58.33,28.89,26.66,632.48,0.99,17033.23,667.98,0.24,0.17,5.95,Seed Sowing,0
Batch_001,2025-04-13 09:55:00,1,58.55,29.14,24.21,632.85,0.99,17626.47,627.42,0.29,0.16,6.03,Seed Sowing,0
Batch_001,2025-04-13 10:00:00,1,56.82,32.2,26.39,629.96,0.98,20253.93,665.09,0.25,0.17,6.03,Seed Sowing,0
Batch_001,2025-04-13 10:05:00,1,58.98,27.92,24.7,632.38,0.99,15759.44,689.38,0.21,0.36,5.92,Seed Sowing,0
Batch_001,2025-04-13 10:10:00,1,62.88,28.77,27.06,627.63,0.98,15492.89,518.9,0.28,0.21,6.18,Seed Sowing,0
Batch_001,2025-04-13 10:15:00,1,56.76,26.92,24.38,627.41,0.98,17212.96,523.19,0.39,0.16,6.02,Seed Sowing,0
Batch_001,2025-04-13 10:20:00,1,62.31,29.48,27.95,632.31,0.99,19371.82,715.52,0.36,0.27,5.97,Seed Sowing,0
Batch_001,2025-04-13 10:25:00,1,55.21,28.9,25.45,634.11,0.99,15876.39,626.36,0.2,0.32,6.05,Seed Sowing,0
Batch_001,2025-04-13 10:30:00,1,63.18,29.16,25.25,623.75,0.97,15261.82,548.7,0.37,0.28,5.82,Seed Sowing,0
Batch_001,2025-04-13 10:35:00,1,60.78,26.96,25.12,631.84,0.99,18809.09,634.6,0.28,0.18,5.83,Seed Sowing,0
Batch_001,2025-04-13 10:40:00,1,62.87,27.03,26.65,632.22,0.99,16178.91,555.29,0.3,0.2,5.99,Seed Sowing,0
Batch_001,2025-04-13 10:45:00,1,59.32,29.3,25.19,621.6,0.97,15576.69,558.74,0.22,0.16,6.17,Seed Sowing,0
Batch_001,2025-04-13 10:50:00,1,60.2,31.42,27.1,631.51,0.99,16919.23,670.48,0.34,0.3,6.03,Seed Sowing,0
Batch_001,2025-04-13 10:55:00,1,58.9,29.92,24.24,631.33,0.99,16783.01,575.84,0.2,0.25,5.84,Seed Sowing,0
Batch_001,2025-04-13 11:00:00,1,60.81,28.47,26.95,629.3,0.98,18896.96,641.33,0.28,0.17,5.99,Seed Sowing,0
Batch_001,2025-04-13 11:05:00,1,59.03,27.26,26.11,624.75,0.98,18924.05,616.46,0.39,0.33,6.16,Seed Sowing,0
Batch_001,2025-04-13 11:10:00,1,56.43,31.22,25.87,630.05,0.98,19298.41,532.9,0.29,0.27,5.82,Seed Sowing,0
Batch_001,2025-04-13 11:15:00,1,58.44,31.32,27.26,632.71,0.99,18105.94,544.47,0.2,0.23,5.86,Seed Sowing,0
Batch_001,2025-04-13 11:20:00,1,59.06,31.18,28.28,630.95,0.99,19450.34,517.41,0.35,0.18,6.01,Seed Sowing,0
Batch_001,2025-04-13 11:25:00,1,57.69,28.35,24.84,625.91,0.98,16211.1,682.12,0.3,0.3,6.19,Seed Sowing,0
Batch_001,2025-04-13 11:30:00,1,61.97,26.82,26.85,636.77,0.99,16291.88,502.61,0.31,0.24,5.8,Seed Sowing,0
Batch_001,2025-04-13 11:35:00,1,60.28,31.89,27.16,632.52,0.99,14984.09,595.96,0.34,0.23,5.87,Seed Sowing,0
Batch_001,2025-04-13 11:40:00,1,58.38,28.47,24.43,640.76,1.0,15180.52,513.6,0.24,0.23,6.18,Seed Sowing,0
Batch_001,2025-04-13 11:45:00,1,58.37,30.31,24.24,634.4,0.99,15259.49,593.01,0.25,0.24,5.91,Seed Sowing,0
Batch_001,2025-04-13 11:50:00,1,59.06,25.69,24.24,622.36,0.97,17029.73,679.89,0.36,0.24,5.97,Seed Sowing,0
Batch_001,2025-04-13 11:55:00,1,58.61,27.35,25.92,632.36,0.99,18025.68,649.91,0.29,0.24,6.11,Seed Sowing,0
Batch_001,2025-04-13 12:00:00,1,45.46,37.0,32.49,631.56,0.99,13286.59,486.3,0.29,0.3,5.87,Seed Sowing,0
Batch_001,2025-04-13 12:05:00,1,47.57,35.02,32.67,628.88,0.98,10467.28,378.49,0.38,0.27,5.98,Seed Sowing,0
Batch_001,2025-04-13 12:10:00,1,53.0,35.88,32.46,623.5,0.97,11670.86,452.14,0.32,0.25,6.06,Seed Sowing,0
Batch_001,2025-04-13 12:15:00,1,52.5,34.67,33.01,623.5,0.97,12253.97,405.36,0.2,0.19,6.07,Seed Sowing,0
Batch_001,2025-04-13 12:20:00,1,49.83,37.4,33.65,627.24,0.98,10999.95,392.93,0.21,0.28,5.99,Seed Sowing,0
Batch_001,2025-04-13 12:25:00,1,50.78,34.52,33.13,639.18,1.0,14419.72,469.31,0.34,0.34,6.06,Seed Sowing,0
Batch_001,2025-04-13 12:30:00,1,48.1,36.05,33.61,640.12,1.0,11401.51,378.19,0.37,0.24,6.22,Seed Sowing,0
Batch_001,2025-04-13 12:35:00,1,47.9,34.3,33.64,629.81,0.98,12134.77,457.67,0.33,0.24,5.72,Seed Sowing,0
Batch_001,2025-04-13 12:40:00,1,50.04,36.51,33.82,633.66,0.99,11588.89,374.11,0.26,0.23,6.14,Seed Sowing,0
Batch_001,2025-04-13 12:45:00,1,43.98,34.54,32.98,635.98,0.99,10455.69,446.2,0.32,0.16,5.75,Seed Sowing,0
Batch_001,2025-04-13 12:50:00,1,50.54,36.82,32.82,639.4,1.0,13093.68,513.32,0.29,0.16,5.82,Seed Sowing,0
Batch_001,2025-04-13 12:55:00,1,50.62,36.03,33.52,628.86,0.98,11567.98,335.74,0.38,0.24,5.9,Seed Sowing,0
Batch_001,2025-04-13 13:00:00,1,52.07,36.51,33.16,630.72,0.99,5900.53,254.29,0.27,0.24,5.92,Seed Sowing,0
Batch_001,2025-04-13 13:05:00,1,55.36,36.02,32.87,631.69,0.99,5437.51,315.64,0.24,0.31,6.16,Seed Sowing,0
Batch_001,2025-04-13 13:10:00,1,45.11,35.89,32.92,625.45,0.98,6751.75,356.72,0.22,0.28,6.01,Seed Sowing,0
Batch_001,2025-04-13 13:15:00,1,54.66,34.9,32.1,626.62,0.98,7331.79,289.12,0.28,0.26,6.0,Seed Sowing,0
Batch_001,2025-04-13 13:20:00,1,47.07,35.38,32.18,633.01,0.99,6187.03,356.31,0.33,0.15,5.99,Seed Sowing,0
Batch_001,2025-04-13 13:25:00,1,49.81,33.68,33.29,625.55,0.98,5417.07,269.27,0.23,0.33,6.22,Seed Sowing,0
Batch_001,2025-04-13 13:30:00,1,50.04,35.05,33.14,635.24,0.99,6608.59,223.34,0.28,0.17,5.98,Seed Sowing,0
Batch_001,2025-04-13 13:35:00,1,50.68,35.17,32.82,633.75,0.99,6130.28,257.74,0.27,0.33,5.81,Seed Sowing,0
Batch_001,2025-04-13 13:40:00,1,51.31,36.48,33.06,620.17,0.97,5046.74,248.59,0.29,0.19,5.9,Seed Sowing,0
Batch_001,2025-04-13 13:45:00,1,46.08,35.86,33.7,632.92,0.99,4681.45,352.61,0.3,0.29,5.86,Seed Sowing,0
Batch_001,2025-04-13 13:50:00,1,42.58,36.85,32.43,624.67,0.98,5695.38,285.53,0.23,0.15,6.26,Seed Sowing,0
Batch_001,2025-04-13 13:55:00,1,56.02,36.07,32.71,632.59,0.99,6932.98,351.12,0.3,0.13,6.27,Seed Sowing,0
Batch_001,2025-04-13 14:00:00,1,52.59,37.16,33.69,622.07,0.97,5607.06,417.24,0.27,0.28,5.97,Seed Sowing,0
Batch_001,2025-04-13 14:05:00,1,51.69,36.97,32.43,631.54,0.99,5435.98,384.47,0.24,0.32,5.87,Seed Sowing,0
Batch_001,2025-04-13 14:10:00,1,49.79,36.89,32.99,618.04,0.97,5584.36,295.49,0.37,0.15,5.96,Seed Sowing,0
Batch_001,2025-04-13 14:15:00,1,52.14,37.51,33.3,634.76,0.99,6860.07,218.55,0.26,0.28,6.03,Seed Sowing,0
Batch_001,2025-04-13 14:20:00,1,53.32,37.54,32.69,635.16,0.99,6803.75,310.13,0.32,0.17,5.93,Seed Sowing,0
Batch_001,2025-04-13 14:25:00,1,55.62,37.53,33.74,635.92,0.99,6850.84,310.8,0.39,0.24,6.0,Seed Sowing,0
Batch_001,2025-04-13 14:30:00,1,47.53,37.59,32.91,627.97,0.98,7797.72,202.2,0.28,0.25,6.14,Seed Sowing,0
Batch_001,2025-04-13 14:35:00,1,48.48,36.68,32.51,630.3,0.98,7141.29,319.63,0.34,0.2,6.08,Seed Sowing,0
Batch_001,2025-04-13 14:40:00,1,46.33,37.8,34.02,628.41,0.98,6662.65,311.48,0.28,0.29,5.95,Seed Sowing,0
Batch_001,2025-04-13 14:45:00,1,44.51,38.17,33.17,630.74,0.99,5635.05,251.05,0.32,0.26,5.95,Seed Sowing,0
Batch_001,2025-04-13 14:50:00,1,53.01,37.28,32.21,626.42,0.98,6031.38,211.35,0.26,0.2,5.91,Seed Sowing,0
Batch_001,2025-04-13 14:55:00,1,43.95,38.21,32.99,625.6,0.98,6602.65,349.79,0.25,0.23,5.79,Seed Sowing,0
Batch_001,2025-04-13 15:00:00,1,53.01,38.06,33.23,635.99,0.99,5078.62,395.29,0.23,0.23,6.01,Seed Sowing,0
Batch_001,2025-04-13 15:05:00,1,45.0,37.73,33.51,628.87,0.98,6522.06,255.22,0.23,0.23,6.08,Seed Sowing,0
Batch_001,2025-04-13 15:10:00,1,45.3,37.84,33.51,636.36,0.99,5713.84,263.75,0.28,0.3,5.91,Seed Sowing,0
Batch_001,2025-04-13 15:15:00,1,46.48,37.4,33.52,630.99,0.99,7200.4,429.8,0.25,0.34,6.09,Seed Sowing,0
Batch_001,2025-04-13 15:20:00,1,51.9,37.58,32.75,620.06,0.97,5056.8,360.82,0.38,0.28,5.77,Seed Sowing,0
Batch_001,2025-04-13 15:25:00,1,45.77,37.98,32.28,635.43,0.99,7536.31,224.87,0.4,0.23,5.83,Seed Sowing,0
Batch_001,2025-04-13 15:30:00,1,50.73,36.97,31.99,636.28,0.99,5693.52,316.78,0.24,0.34,5.91,Seed Sowing,0
Batch_001,2025-04-13 15:35:00,1,45.64,37.14,31.71,626.77,0.98,6652.01,383.14,0.26,0.19,6.19,Seed Sowing,0
Batch_001,2025-04-13 15:40:00,1,44.86,37.26,33.0,625.46,0.98,5677.57,328.91,0.29,0.26,5.96,Seed Sowing,0
Batch_001,2025-04-13 15:45:00,1,51.23,37.38,33.27,631.44,0.99,6857.73,267.24,0.34,0.3,5.94,Seed Sowing,0
Batch_001,2025-04-13 15:50:00,1,48.0,37.64,33.55,635.04,0.99,7224.48,393.68,0.38,0.31,5.95,Seed Sowing,0
Batch_001,2025-04-13 15:55:00,1,52.98,36.99,32.26,625.63,0.98,7464.91,272.95,0.22,0.2,6.14,Seed Sowing,0
Batch_001,2025-04-13 16:00:00,1,67.09,30.59,29.61,636.45,0.99,7366.81,276.12,0.35,0.27,5.83,Seed Sowing,0
